央视频道,#genre#
更新日期: 2026-6-30 12:03:07,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630114457&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=122.13.25.57&SecurityKey=20260630114457&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=305a5bc8294ffbffc1393a44fa485b41&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791094733&prlId=4f89b0f1d885527a227fd4a636419cfe1782791094832&jid=4f89b0f1d885527a227fd4a636419cfe1782791094134V&is_advertise=0&sjid=subsession_1782791127021&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ea2daa26231877c90e71193aa15f74dd
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630114457&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=122.13.25.57&SecurityKey=20260630114457&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=305a5bc8294ffbffc1393a44fa485b41&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791094733&prlId=4f89b0f1d885527a227fd4a636419cfe1782791094832&jid=4f89b0f1d885527a227fd4a636419cfe1782791094134V&is_advertise=0&sjid=subsession_1782791127021&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ea2daa26231877c90e71193aa15f74dd
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630114247&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=58.252.253.24&SecurityKey=20260630114247&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=c2d121fbcd4ceacfba54f35931d25229&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782790965187&prlId=4f89b0f1d885527a227fd4a636419cfe1782790965203&jid=4f89b0f1d885527a227fd4a636419cfe1782790964720V&is_advertise=0&sjid=subsession_1782790997908&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f4f787db2addb33d87bcae4593582554
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630115501&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=58.251.252.34&SecurityKey=20260630115501&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=82ff3a0a7d79a572ecdf6979b7b21803&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791699186&prlId=4f89b0f1d885527a227fd4a636419cfe1782791699211&jid=4f89b0f1d885527a227fd4a636419cfe1782791698368V&is_advertise=0&sjid=subsession_1782791727053&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4f827f03f11f09a776a5c9d2685c11e6
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630113446&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=157.61.129.6&SecurityKey=20260630113446&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=3069a98b699fcf79ace8437ea38647e1&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782790484866&prlId=4f89b0f1d885527a227fd4a636419cfe1782790485217&jid=4f89b0f1d885527a227fd4a636419cfe1782790483829V&is_advertise=0&sjid=subsession_1782790517527&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9d44add36fe1fc776268231b96735760
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260630112327&Channel_ID=0116_2600037000-99000-200300220113677&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=125.211.195.82&SecurityKey=20260630112327&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=cae25e97b684f61eab7eb7d720900da5
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260630110819&Channel_ID=0116_2600037000-99000-200300220113644&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=125.211.195.56&SecurityKey=20260630110819&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5f6eafcfc62116e99f68abab5c9ff493
CCTV3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112618&Channel_ID=0116_2600037000-99000-200300220113680&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.103&SecurityKey=20260630112618&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d6a679aaf79f17d745e361c77072fed0
CCTV3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112552&Channel_ID=0116_2600037000-99000-200300220113679&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.102&SecurityKey=20260630112552&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6d56bc35056fed26aaf333d42f80fe72
